"Kod";"Nazwa";"obiekty sportowe ogółem;2010;[ob.]";"obiekty sportowe ogółem;2014;[ob.]";"obiekty sportowe ogółem;2018;[ob.]";"obiekty sportowe ogółem;2022;[ob.]";"stadiony;2010;[ob.]";"stadiony;2014;[ob.]";"stadiony;2018;[ob.]";"stadiony;2022;[ob.]";"boiska do gier wielkich;2010;[ob.]";"boiska do gier wielkich;2014;[ob.]";"boiska do gier wielkich;2018;[ob.]";"boiska do gier wielkich;2022;[ob.]";"boiska do gier małych;2010;[ob.]";"boiska do gier małych;2014;[ob.]";"boiska do gier małych;2018;[ob.]";"boiska do gier małych;2022;[ob.]";"boiska uniwersalne - wielozadaniowe;2010;[ob.]";"boiska uniwersalne - wielozadaniowe;2014;[ob.]";"boiska uniwersalne - wielozadaniowe;2018;[ob.]";"boiska uniwersalne - wielozadaniowe;2022;[ob.]";"hale i sale sportowe;2010;[ob.]";"hale i sale sportowe;2014;[ob.]";"hale i sale sportowe;2018;[ob.]";"hale i sale sportowe;2022;[ob.]";"korty tenisowe otwarte i kryte;2010;[ob.]";"korty tenisowe otwarte i kryte;2014;[ob.]";"korty tenisowe otwarte i kryte;2018;[ob.]";"korty tenisowe otwarte i kryte;2022;[ob.]";"pływalnie sportowe otwarte i kryte, aquaparki;2010;[ob.]";"pływalnie sportowe otwarte i kryte, aquaparki;2014;[ob.]";"pływalnie sportowe otwarte i kryte, aquaparki;2018;[ob.]";"pływalnie sportowe otwarte i kryte, aquaparki;2022;[ob.]";"lodowiska sztucznie mrożone niezadaszone oraz kryte;2010;[ob.]";"lodowiska sztucznie mrożone niezadaszone oraz kryte;2014;[ob.]";"lodowiska sztucznie mrożone niezadaszone oraz kryte;2018;[ob.]";"lodowiska sztucznie mrożone niezadaszone oraz kryte;2022;[ob.]";"strzelnice;2010;[ob.]";"strzelnice;2014;[ob.]";"strzelnice;2018;[ob.]";"strzelnice;2022;[ob.]";"skateparki;2010;[ob.]";"skateparki;2014;[ob.]";"skateparki;2018;[ob.]";"skateparki;2022;[ob.]";"siłownie zewnętrzne;2010;[ob.]";"siłownie zewnętrzne;2014;[ob.]";"siłownie zewnętrzne;2018;[ob.]";"siłownie zewnętrzne;2022;[ob.]";"stopień wykorzystania obiektów rekreacyjno-sportowych;2010;[%]";"stopień wykorzystania obiektów rekreacyjno-sportowych;2014;[%]";"stopień wykorzystania obiektów rekreacyjno-sportowych;2018;[%]";"stopień wykorzystania obiektów rekreacyjno-sportowych;2022;[%]";
0200000;"DOLNOŚLĄSKIE";1632;2054;2809;3229;185;166;207;179;756;814;853;834;138;242;304;301;192;282;322;372;124;122;154;143;134;161;179;154;57;70;89;109;15;21;26;21;11;15;16;25;20;28;39;58;;133;620;1033;71,7;75,8;77,2;87,2;
0400000;"KUJAWSKO-POMORSKIE";718;1121;1588;2181;117;103;112;107;162;291;333;391;62;183;208;265;171;167;186;193;90;102;86;94;63;94;111;103;24;24;29;46;11;11;12;13;8;5;10;6;10;25;26;44;;116;475;919;79,1;83,9;85,3;88,8;
0600000;"LUBELSKIE";642;848;1131;1708;125;124;122;128;212;250;259;322;65;141;150;195;79;103;123;140;82;73;70;80;33;56;51;64;23;22;24;31;6;5;7;7;8;9;13;14;9;16;17;27;;49;295;700;71,9;71,6;76,1;86,3;
0800000;"LUBUSKIE";516;720;1029;1331;58;75;69;72;273;261;309;338;22;113;147;146;39;77;73;89;48;48;59;60;42;55;51;56;19;19;19;19;3;4;4;2;6;7;12;9;6;16;20;32;;45;266;508;68,8;69,8;76,6;85,7;
1000000;"ŁÓDZKIE";683;1115;1451;2049;82;121;116;104;224;350;350;368;52;124;145;195;100;139;179;211;84;124;93;115;82;116;131;126;26;31;35;38;14;16;19;18;6;3;6;9;13;24;29;41;;67;348;824;78,7;79,3;83,3;88,6;
1200000;"MAŁOPOLSKIE";1421;1747;2300;2888;242;240;258;198;596;652;701;772;81;141;197;214;161;248;300;383;151;124;151;186;104;149;165;162;57;67;70;73;13;23;28;30;5;5;11;15;11;28;33;45;;70;386;810;76,7;83,4;86,5;88,8;
1400000;"MAZOWIECKIE";1199;1662;2428;3513;165;177;167;166;240;323;414;467;122;169;248;302;203;227;302;341;181;203;246;236;146;145;143;162;80;80;81;89;22;42;44;40;10;13;17;16;30;51;60;106;;232;706;1588;83,6;84,6;87,6;93,2;
1600000;"OPOLSKIE";661;944;1068;1321;109;96;92;72;317;411;390;372;34;99;105;117;86;87;109;100;40;59;54;69;33;51;50;50;28;36;39;42;4;8;11;11;4;7;5;6;6;12;20;28;;78;193;454;69,6;72,8;76,4;84,6;
1800000;"PODKARPACKIE";1219;1611;1790;2245;303;349;300;324;418;505;495;503;96;158;185;173;125;186;221;232;117;131;102;93;75;117;113;133;53;64;62;80;11;14;16;22;6;5;4;6;15;17;24;30;;65;268;649;67,1;72,2;74,0;82,2;
2000000;"PODLASKIE";272;413;570;863;48;47;51;49;76;102;125;158;29;63;73;94;42;58;76;73;30;34;33;44;19;35;32;37;15;21;22;26;4;5;5;6;2;2;3;0;7;13;14;16;;33;136;360;75,1;78,4;76,9;85,7;
2200000;"POMORSKIE";866;1304;1921;2312;100;105;117;113;285;431;427;456;85;188;212;211;181;186;264;290;82;80;126;103;96;95;161;114;18;19;19;28;3;9;18;17;5;3;7;6;11;25;33;47;;163;537;927;73,2;78,3;83,1;89,7;
2400000;"ŚLĄSKIE";1371;1833;2543;2864;162;200;206;184;537;524;635;620;114;197;243;318;127;197;274;268;156;179;226;196;118;162;169;156;93;98;104;105;29;36;44;41;7;7;10;10;28;50;69;81;;183;563;885;83,5;84,7;87,0;91,4;
2600000;"ŚWIĘTOKRZYSKIE";328;520;763;982;75;69;71;64;83;132;154;166;33;79;82;76;55;77;112;116;28;44;43;42;22;36;43;35;23;31;28;29;2;5;4;4;3;3;3;2;4;11;16;19;;33;207;429;74,6;77,4;79,3;86,6;
2800000;"WARMIŃSKO-MAZURSKIE";579;792;1274;1900;84;93;82;95;201;228;279;384;45;123;183;225;113;122;153;176;63;65;74;115;45;54;66;73;13;19;20;23;7;13;18;17;1;3;10;13;7;18;25;30;;54;364;749;71,4;74,6;80,8;86,5;
3000000;"WIELKOPOLSKIE";1733;2403;3519;4262;205;224;223;215;605;771;919;972;157;336;501;560;309;316;372;396;187;217;247;255;156;173;209;198;54;52;59;63;10;15;17;21;28;38;46;45;22;54;69;84;;207;857;1453;73,3;74,6;81,9;88,4;
3200000;"ZACHODNIOPOMORSKIE";954;1214;1646;2012;135;145;127;122;408;447;472;452;106;126;186;176;123;146;192;205;78;79;82;110;63;105;97;100;17;20;15;20;2;6;7;4;9;12;15;9;13;29;34;48;;99;419;766;67,6;76,2;80,3;88,1;
